CompletionTime_us,FlowType,SizeBytes,FCT_us
147670,Mouse,3581,141
147680,Mouse,5669,148
147742,Mouse,3304,140
147880,Elephant,235017,1634
147885,Mouse,3508,144
147909,Mouse,4835,152
147940,Mouse,5558,154
148009,Elephant,209310,1327
148056,Mouse,5390,134
148070,Mouse,5149,122
148088,Mouse,5731,116
148132,Mouse,3221,111
148137,Mouse,3067,103
148148,Mouse,4023,104
148258,Mouse,4737,101
148292,Mouse,3219,103
148514,Mouse,3406,128
148519,Mouse,5176,132
148562,Mouse,3930,134
148656,Elephant,423946,1962
148669,Mouse,4214,150
148744,Mouse,4063,127
148788,Mouse,3489,138
148789,Mouse,3813,135
148842,Elephant,437132,1825
148861,Mouse,3161,111
148900,Mouse,5355,101
148936,Mouse,4079,95
149012,Mouse,3141,94
149186,Mouse,4537,104
149216,Mouse,4953,107
149227,Mouse,3586,109
149249,Elephant,379601,1500
149298,Mouse,4909,101
149318,Mouse,3897,97
149360,Mouse,5684,76
149388,Mouse,4064,84
149433,Mouse,5027,83
149442,Mouse,3405,86
149460,Mouse,5266,90
149515,Elephant,140812,718
149542,Mouse,5134,87
149560,Mouse,4180,66
149580,Mouse,5798,74
149585,Elephant,546044,2029
149653,Mouse,4718,65
149659,Mouse,3591,66
149661,Mouse,4096,68
149668,Mouse,5425,67
149687,Mouse,5194,67
149750,Mouse,3357,64
149958,Mouse,5024,66
150005,Mouse,3639,67
150006,Mouse,4268,67
150055,Mouse,5523,66
150060,Mouse,3500,64
150068,Mouse,3811,67
150069,Mouse,4717,69
150102,Mouse,4801,65
150172,Mouse,3312,64
150177,Mouse,5444,66
150217,Mouse,5005,66
150281,Mouse,5746,67
150392,Mouse,5164,69
150417,Mouse,5272,65
150427,Mouse,5381,67
150442,Mouse,3609,68
150530,Elephant,64501,337
150630,Mouse,3191,67
150646,Mouse,5485,68
150719,Mouse,3374,67
150724,Mouse,3065,69
150730,Mouse,3645,73
150734,Mouse,4871,75
150751,Mouse,5604,78
150753,Mouse,3631,75
150772,Mouse,3506,73
150810,Mouse,5282,77
150815,Mouse,3221,78
150828,Mouse,4053,71
150850,Mouse,4707,71
150906,Mouse,5328,68
150960,Mouse,3546,71
150998,Mouse,3440,69
151001,Mouse,5089,73
151049,Mouse,3880,76
151070,Elephant,186493,664
151088,Mouse,5767,79
151092,Mouse,4779,81
151125,Mouse,3700,68
151224,Mouse,3173,65
151254,Mouse,4997,69
